#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
101_LNODE_1_length_35176_30,1121472.AQWN01000009_gene393,8.32E-46,167.0,"COG0507@1|root,COG0507@2|Bacteria,1TQWH@1239|Firmicutes,24A8I@186801|Clostridia",186801|Clostridia,L,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_31,348824.LPU83_1720,4.71E-156,476.0,"COG3064@1|root,COG3064@2|Bacteria,1R6JV@1224|Proteobacteria,2U5NE@28211|Alphaproteobacteria,4B8WH@82115|Rhizobiaceae",28211|Alphaproteobacteria,M,Membrane,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_33,948071.S4T7X9_9CAUD,7.28E-13,65.5,"4QCEX@10239|Viruses,4QV7Q@35237|dsDNA viruses  no RNA stage,4QU8B@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_41,441620.Mpop_0030,1.75E-55,189.0,"COG1462@1|root,COG1462@2|Bacteria,1MVZM@1224|Proteobacteria,2TRZG@28211|Alphaproteobacteria,1JRD2@119045|Methylobacteriaceae",28211|Alphaproteobacteria,M,PFAM Curli production assembly transport component CsgG,csgG,-,-,ko:K06214,-,-,-,-,"ko00000,ko02044",-,-,-,CsgG
101_LNODE_1_length_35176_44,690585.JNNU01000010_gene882,2.88E-49,188.0,"COG2114@1|root,COG4252@1|root,COG2114@2|Bacteria,COG4252@2|Bacteria,1MV1V@1224|Proteobacteria,2U6VS@28211|Alphaproteobacteria,4BM30@82115|Rhizobiaceae",28211|Alphaproteobacteria,T,Adenylate cyclase,cyaK,-,4.6.1.1,ko:K01768,"ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213",M00695,"R00089,R00434",RC00295,"ko00000,ko00001,ko00002,ko01000",-,-,-,"CHASE2,Guanylate_cyc"
101_LNODE_1_length_35176_46,1268068.PG5_42510,4.49E-12,63.5,"2EI4V@1|root,33BW7@2|Bacteria,1NN3Z@1224|Proteobacteria",1224|Proteobacteria,S,Protein of unknwon function (DUF3310),-,-,-,-,-,-,-,-,-,-,-,-,DUF3310
103_LNODE_1_length_6894_1,1217656.F964_03096,2.45E-22,87.8,"2BZ8A@1|root,2ZMXQ@2|Bacteria,1P77N@1224|Proteobacteria,1SW6N@1236|Gammaproteobacteria,3NQGQ@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103_LNODE_1_length_6894_10,1509403.GW12_08350,3.44E-224,625.0,"2CDPS@1|root,2ZBQT@2|Bacteria,1RB59@1224|Proteobacteria,1S2U0@1236|Gammaproteobacteria,3NKKP@468|Moraxellaceae",1236|Gammaproteobacteria,S,Phage X family,g2p,-,-,-,-,-,-,-,-,-,-,-,"Phage_CRI,Phage_X"
104_LNODE_1_length_59675_17,762982.HMPREF9442_00551,3.96E-55,180.0,"2CS3D@1|root,32SQ7@2|Bacteria,4NUJ9@976|Bacteroidetes,2FT0K@200643|Bacteroidia",976|Bacteroidetes,S,Erf family,-,-,-,-,-,-,-,-,-,-,-,-,ERF
104_LNODE_1_length_59675_37,869213.JCM21142_104045,2.53E-55,177.0,"2DT8X@1|root,32UUQ@2|Bacteria,4NSYW@976|Bacteroidetes,47SF7@768503|Cytophagia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104_LNODE_1_length_59675_49,753084.F4YCM7_9CAUD,5.05E-33,117.0,"4QCEX@10239|Viruses,4QV7Q@35237|dsDNA viruses  no RNA stage,4QU8B@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106_LNODE_1_length_5651_1,1569209.BBPH01000077_gene306,1.17E-137,404.0,"COG0507@1|root,COG0507@2|Bacteria,1MUTR@1224|Proteobacteria,2TSQQ@28211|Alphaproteobacteria,2PVNM@265|Paracoccus",28211|Alphaproteobacteria,L,MobA/MobL family,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_30,MobA_MobL,Relaxase,Viral_helicase1"
106_LNODE_1_length_5651_2,592029.DDD_1572,5.18E-12,69.3,"COG1309@1|root,COG1309@2|Bacteria,4NMYS@976|Bacteroidetes,1I1GW@117743|Flavobacteriia,3HKTN@363408|Nonlabens",976|Bacteroidetes,K,"Bacterial regulatory proteins, tetR family",-,-,-,ko:K16137,-,-,-,-,"ko00000,ko03000",-,-,-,"TetR_C_13,TetR_N"
106_LNODE_1_length_5651_4,766499.C357_23145,3.25E-57,183.0,"2EKAM@1|root,33E0W@2|Bacteria,1MYSP@1224|Proteobacteria,2UBGW@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106_LNODE_1_length_5651_7,111781.Lepto7376_1835,2.02E-13,69.7,"COG3686@1|root,COG3686@2|Bacteria",2|Bacteria,S,Membrane,-,-,-,-,-,-,-,-,-,-,-,-,MAPEG
106_LNODE_1_length_5651_8,1094563.MCQ_00556,4.51E-46,154.0,"COG3692@1|root,COG3692@2|Bacteria,1NNDK@1224|Proteobacteria,2UNEE@28211|Alphaproteobacteria,48TX4@772|Bartonellaceae",28211|Alphaproteobacteria,S,"PemK-like, MazF-like toxin of type II toxin-antitoxin system",-,-,-,ko:K07171,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,PemK_toxin
10_LNODE_1_length_2435_2,1089455.MOPEL_042_00010,6.93E-261,728.0,"COG5421@1|root,COG5421@2|Bacteria,2GK2A@201174|Actinobacteria,4F7IP@85018|Dermatophilaceae",201174|Actinobacteria,L,Transposase DDE domain,-,-,-,-,-,-,-,-,-,-,-,-,DDE_Tnp_1
10_LNODE_1_length_2435_3,2045.KR76_18765,2.59E-30,115.0,"2BNYC@1|root,32HND@2|Bacteria,2H5FE@201174|Actinobacteria,4DUXK@85009|Propionibacteriales",201174|Actinobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110_LNODE_1_length_1134_1,1265756.AWZW01000008_gene1410,3.58E-83,279.0,"COG3210@1|root,COG3210@2|Bacteria,1QUXB@1224|Proteobacteria,2TWTY@28211|Alphaproteobacteria",28211|Alphaproteobacteria,U,PFAM SMP-30 Gluconolaconase,-,-,-,-,-,-,-,-,-,-,-,-,"Cadherin,DUF4347"
111_LNODE_1_length_1734_1,317619.ANKN01000230_gene252,7.74E-86,300.0,"COG0739@1|root,COG0823@1|root,COG1520@1|root,COG2931@1|root,COG3386@1|root,COG0739@2|Bacteria,COG0823@2|Bacteria,COG1520@2|Bacteria,COG2931@2|Bacteria,COG3386@2|Bacteria,1GJ06@1117|Cyanobacteria,1MN0C@1212|Prochloraceae",1117|Cyanobacteria,Q,Alternative locus ID,-,-,-,-,-,-,-,-,-,-,-,-,"Cadherin,DUF4214"
113_LNODE_1_length_37794_2,1121459.AQXE01000001_gene2763,1.1E-59,196.0,"COG0258@1|root,COG0258@2|Bacteria,1MYSI@1224|Proteobacteria,42YXU@68525|delta/epsilon subdivisions,2WTV8@28221|Deltaproteobacteria,2MBMF@213115|Desulfovibrionales",28221|Deltaproteobacteria,L,"5'-3' exonuclease, N-terminal resolvase-like domain",-,-,-,-,-,-,-,-,-,-,-,-,5_3_exonuc_N
113_LNODE_1_length_37794_6,1121459.AQXE01000001_gene2755,2.68E-152,452.0,"28MSK@1|root,2ZB0X@2|Bacteria,1R7CY@1224|Proteobacteria,42YXC@68525|delta/epsilon subdivisions,2WTJ0@28221|Deltaproteobacteria,2M9DF@213115|Desulfovibrionales",28221|Deltaproteobacteria,S,Bacteriophage head to tail connecting protein,-,-,-,-,-,-,-,-,-,-,-,-,Head-tail_con
113_LNODE_1_length_37794_7,1220601.L7TQY4_9CAUD,4.51E-48,167.0,"4QBAU@10239|Viruses,4QW8E@35237|dsDNA viruses  no RNA stage,4QPEP@28883|Caudovirales",28883|Caudovirales,S,Phage T7 capsid assembly protein,-,-,-,-,-,-,-,-,-,-,-,-,-
113_LNODE_1_length_37794_14,438753.AZC_3585,2.52E-79,253.0,"28IR7@1|root,2Z8QR@2|Bacteria,1PBTP@1224|Proteobacteria,2U248@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113_LNODE_1_length_37794_15,1121459.AQXE01000001_gene2750,3.48E-51,171.0,"2ATMD@1|root,31J5V@2|Bacteria,1RH31@1224|Proteobacteria,42YF2@68525|delta/epsilon subdivisions,2WTJ2@28221|Deltaproteobacteria,2MC98@213115|Desulfovibrionales",28221|Deltaproteobacteria,S,Tail tubular protein,-,-,-,-,-,-,-,-,-,-,-,-,Tube
113_LNODE_1_length_37794_24,1028800.RG540_CH13960,4.14E-17,75.1,"2EVDQ@1|root,33NU5@2|Bacteria,1NQC2@1224|Proteobacteria,2UY7F@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113_LNODE_1_length_37794_26,438753.AZC_3575,1.81E-245,692.0,"COG5410@1|root,COG5410@2|Bacteria,1N0W2@1224|Proteobacteria,2U18J@28211|Alphaproteobacteria",28211|Alphaproteobacteria,K,chromosome segregation,-,-,-,-,-,-,-,-,-,-,-,-,Terminase_6C
113_LNODE_1_length_37794_28,979533.F1D0U3_9CAUD,9E-12,62.4,"4QAM4@10239|Viruses,4QWEA@35237|dsDNA viruses  no RNA stage,4QPGM@28883|Caudovirales,4QNJD@10744|Podoviridae",10744|Podoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113_LNODE_1_length_37794_40,1123229.AUBC01000005_gene642,5.37E-14,69.3,"2EURW@1|root,33N7G@2|Bacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HTH_17
113_LNODE_1_length_37794_42,1121459.AQXE01000001_gene2769,2.18E-30,118.0,"2AFZH@1|root,3163D@2|Bacteria,1RJUP@1224|Proteobacteria,42ZBP@68525|delta/epsilon subdivisions,2WTYW@28221|Deltaproteobacteria,2MDNE@213115|Desulfovibrionales",28221|Deltaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113_LNODE_1_length_37794_44,438753.AZC_3598,1.44E-185,538.0,"COG0305@1|root,COG0358@1|root,COG0305@2|Bacteria,COG0358@2|Bacteria,1QT52@1224|Proteobacteria,2TVNI@28211|Alphaproteobacteria",28211|Alphaproteobacteria,L,Toprim-like,-,-,3.6.4.12,ko:K17680,-,-,-,-,"ko00000,ko01000,ko03029",-,-,-,"DnaB_C,Toprim_2"
113_LNODE_1_length_37794_46,1121459.AQXE01000001_gene2765,1.31E-184,540.0,"COG0749@1|root,COG0749@2|Bacteria,1P27P@1224|Proteobacteria,42YUP@68525|delta/epsilon subdivisions,2WTS1@28221|Deltaproteobacteria,2MAPB@213115|Desulfovibrionales",28221|Deltaproteobacteria,L,DNA polymerase A domain,-,-,-,-,-,-,-,-,-,-,-,-,DNA_pol_A
117_LNODE_1_length_3003_1,298654.FraEuI1c_2475,4.06E-207,579.0,"COG2159@1|root,COG2159@2|Bacteria,2GKG2@201174|Actinobacteria,4ETPN@85013|Frankiales",201174|Actinobacteria,S,Amidohydrolase,-,-,-,-,-,-,-,-,-,-,-,-,Amidohydro_2
123_LNODE_1_length_2118_1,312153.Pnuc_1827,2.29E-161,490.0,"COG0457@1|root,COG3914@1|root,COG0457@2|Bacteria,COG3914@2|Bacteria,1MVMG@1224|Proteobacteria,2VH3M@28216|Betaproteobacteria,1K03X@119060|Burkholderiaceae",28216|Betaproteobacteria,O,Tetratricopeptide TPR_2 repeat protein,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_transf_41,TPR_1,TPR_11,TPR_16,TPR_19,TPR_2,TPR_8"
124_LNODE_1_length_1128_1,62977.ACIAD3113,1.9E-210,584.0,"COG1262@1|root,COG1262@2|Bacteria,1PDSD@1224|Proteobacteria,1S4ZV@1236|Gammaproteobacteria,3NJIE@468|Moraxellaceae",1236|Gammaproteobacteria,S,Sulfatase-modifying factor enzyme 1,-,-,-,-,-,-,-,-,-,-,-,-,FGE-sulfatase
125_LNODE_1_length_2038_2,1144932.ATTF01000023_gene784,2.87E-216,607.0,"COG0004@1|root,COG0004@2|Bacteria,1NR9F@1224|Proteobacteria,2TT2J@28211|Alphaproteobacteria,4BPT6@82117|unclassified Alphaproteobacteria",28211|Alphaproteobacteria,P,"ammonium transporter, marine subtype",-,-,-,ko:K03320,-,-,-,-,"ko00000,ko02000",1.A.11,-,-,Ammonium_transp
126_LNODE_1_length_2177_1,1400525.JNIU01000001_gene199,6.51E-257,708.0,"COG1215@1|root,COG1215@2|Bacteria,1MWH9@1224|Proteobacteria,2TUGH@28211|Alphaproteobacteria,4BRRW@82117|unclassified Alphaproteobacteria",28211|Alphaproteobacteria,M,COG0463 Glycosyltransferases involved in cell wall biogenesis,gpgS,-,2.4.1.266,ko:K13693,-,-,-,-,"ko00000,ko01000,ko01003",-,GT81,-,-
126_LNODE_1_length_2177_2,439493.PB7211_1415,1.74E-150,427.0,"COG3769@1|root,COG3769@2|Bacteria,1NFV5@1224|Proteobacteria,2U6BB@28211|Alphaproteobacteria,4BSRD@82117|unclassified Alphaproteobacteria",28211|Alphaproteobacteria,S,haloacid dehalogenase-like hydrolase,-,-,3.1.3.70,ko:K07026,"ko00051,map00051",-,R05790,RC00017,"ko00000,ko00001,ko01000",-,-,-,Hydrolase_3
13_LNODE_1_length_32043_4,1392490.JHZX01000001_gene3576,2.96E-12,65.1,"2E645@1|root,330T3@2|Bacteria",2|Bacteria,S,"Holin of 3TMs, for gene-transfer release",-,-,-,-,-,-,-,-,-,-,-,-,GTA_holin_3TM
13_LNODE_1_length_32043_5,1005999.GLGR_3796,1.54E-33,123.0,"COG3926@1|root,COG3926@2|Bacteria,1MVXW@1224|Proteobacteria,1RRB6@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,secretion activating protein,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_hydro_108,PG_binding_3"
13_LNODE_1_length_32043_10,1197951.I6S295_9CAUD,1.81E-18,80.5,"4QCEX@10239|Viruses,4QV7Q@35237|dsDNA viruses  no RNA stage,4QU8B@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_1_length_32043_29,1095743.HMPREF1054_1984,4.92E-17,79.3,"2E1TC@1|root,32X37@2|Bacteria,1N1AU@1224|Proteobacteria,1SNCF@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,"Psort location Cytoplasmic, score 8.96",-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_1_length_32043_31,760568.Desku_0784,2.29E-33,122.0,"2CDFK@1|root,2Z8BH@2|Bacteria,1V43D@1239|Firmicutes,24KG0@186801|Clostridia",186801|Clostridia,H,DNA N-6-adenine-methyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,Dam
13_LNODE_1_length_32043_39,909663.KI867149_gene3299,4.38E-11,67.4,"COG1475@1|root,COG1475@2|Bacteria",2|Bacteria,K,chromosome segregation,-,-,-,-,-,-,-,-,-,-,-,-,ParBc
13_LNODE_1_length_32043_46,1217712.F971_02703,1.91E-08,60.1,"COG1783@1|root,COG1783@2|Bacteria,1MWGP@1224|Proteobacteria,1RMTH@1236|Gammaproteobacteria,3NMJ9@468|Moraxellaceae",1236|Gammaproteobacteria,S,Terminase RNaseH-like domain,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_1_length_32043_54,312153.Pnuc_1279,1.68E-57,183.0,"2AV7S@1|root,31KYE@2|Bacteria,1RKQ6@1224|Proteobacteria,2VYWQ@28216|Betaproteobacteria",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_2_length_32135_3,312153.Pnuc_1279,1.68E-57,183.0,"2AV7S@1|root,31KYE@2|Bacteria,1RKQ6@1224|Proteobacteria,2VYWQ@28216|Betaproteobacteria",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_2_length_32135_11,1217712.F971_02703,1.91E-08,60.1,"COG1783@1|root,COG1783@2|Bacteria,1MWGP@1224|Proteobacteria,1RMTH@1236|Gammaproteobacteria,3NMJ9@468|Moraxellaceae",1236|Gammaproteobacteria,S,Terminase RNaseH-like domain,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_2_length_32135_18,909663.KI867149_gene3299,4.38E-11,67.4,"COG1475@1|root,COG1475@2|Bacteria",2|Bacteria,K,chromosome segregation,-,-,-,-,-,-,-,-,-,-,-,-,ParBc
13_LNODE_2_length_32135_26,760568.Desku_0784,2.29E-33,122.0,"2CDFK@1|root,2Z8BH@2|Bacteria,1V43D@1239|Firmicutes,24KG0@186801|Clostridia",186801|Clostridia,H,DNA N-6-adenine-methyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,Dam
13_LNODE_2_length_32135_28,1095743.HMPREF1054_1984,4.92E-17,79.3,"2E1TC@1|root,32X37@2|Bacteria,1N1AU@1224|Proteobacteria,1SNCF@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,"Psort location Cytoplasmic, score 8.96",-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_2_length_32135_47,1197951.I6S295_9CAUD,1.47E-17,78.2,"4QCEX@10239|Viruses,4QV7Q@35237|dsDNA viruses  no RNA stage,4QU8B@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13_LNODE_2_length_32135_52,1005999.GLGR_3796,1.54E-33,123.0,"COG3926@1|root,COG3926@2|Bacteria,1MVXW@1224|Proteobacteria,1RRB6@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,secretion activating protein,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_hydro_108,PG_binding_3"
13_LNODE_2_length_32135_53,1392490.JHZX01000001_gene3576,2.96E-12,65.1,"2E645@1|root,330T3@2|Bacteria",2|Bacteria,S,"Holin of 3TMs, for gene-transfer release",-,-,-,-,-,-,-,-,-,-,-,-,GTA_holin_3TM
15_LNODE_1_length_37843_11,118173.KB235914_gene2532,6.72E-56,188.0,"COG0270@1|root,COG0270@2|Bacteria,1GCTG@1117|Cyanobacteria,1HH28@1150|Oscillatoriales",1117|Cyanobacteria,L,C-5 cytosine-specific DNA methylase,-,-,2.1.1.37,ko:K00558,"ko00270,ko01100,ko05206,map00270,map01100,map05206",M00035,R04858,"RC00003,RC00332","ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036",-,-,-,DNA_methylase
15_LNODE_1_length_37843_16,1636271.A0A0E3JS81_9CAUD,1.12E-37,142.0,"4QB5I@10239|Viruses,4QPQ9@28883|Caudovirales,4QKRP@10699|Siphoviridae",10699|Siphoviridae,S,helicase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_20,1183438.GKIL_0390,1.98E-101,317.0,"COG1783@1|root,COG1783@2|Bacteria",2|Bacteria,S,DNA packaging,-,-,-,-,-,-,-,-,-,-,-,-,"Terminase_6,Terminase_6C"
15_LNODE_1_length_37843_28,753084.F4YCM7_9CAUD,2.03E-30,110.0,"4QCEX@10239|Viruses,4QV7Q@35237|dsDNA viruses  no RNA stage,4QU8B@28883|Caudovirales",28883|Caudovirales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_30,1499683.CCFF01000005_gene69,4.66E-58,197.0,"2BZ9Z@1|root,2Z97E@2|Bacteria,1U6NR@1239|Firmicutes,24FZN@186801|Clostridia,36GJA@31979|Clostridiaceae",186801|Clostridia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_44,426114.THI_1963,6.85E-36,132.0,"COG4672@1|root,COG4672@2|Bacteria,1N0JB@1224|Proteobacteria,2VMSX@28216|Betaproteobacteria",28216|Betaproteobacteria,S,tail protein,-,-,-,-,-,-,-,-,-,-,-,-,Phage_tail_L
15_LNODE_1_length_37843_45,1120999.JONM01000029_gene3366,1.85E-51,174.0,"COG0791@1|root,COG1310@1|root,COG0791@2|Bacteria,COG1310@2|Bacteria,1N05J@1224|Proteobacteria,2VNRK@28216|Betaproteobacteria,2KTXS@206351|Neisseriales",206351|Neisseriales,M,JAB/MPN domain,-,-,-,-,-,-,-,-,-,-,-,-,"NLPC_P60,Prok-JAB"
15_LNODE_1_length_37843_48,445693.E3SND3_9CAUD,9.99E-34,145.0,"4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae",10744|Podoviridae,S,outer membrane,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_50,1589733.A0A0C5AIV6_9CAUD,4.88E-51,171.0,"4QHBT@10239|Viruses,4QQXF@28883|Caudovirales,4QI3F@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_51,1137745.H6WG25_9CAUD,1.01E-31,117.0,"4QBKF@10239|Viruses,4QW0F@35237|dsDNA viruses  no RNA stage,4QRGA@28883|Caudovirales,4QIZG@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_52,444859.E3SIH6_9CAUD,7.38E-31,116.0,"4QGNS@10239|Viruses,4QTQZ@28883|Caudovirales,4QJ6U@10662|Myoviridae",10662|Myoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15_LNODE_1_length_37843_58,1117958.PE143B_0121610,1.1E-13,77.8,"2CHG1@1|root,32YZS@2|Bacteria,1NBVV@1224|Proteobacteria,1RYDN@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
